,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
0,PolitiOstfldOPS,"Dette var kontoen til perasjonssentralen i Østfold, Øst politidistrikt. Operasjonssentralen ble avviklet 7. mars 2018.",Østfold,6,50573,21354,1,0140 Moss. Beruset og kranglete gjest på et utested i sentrum bortvist fra sentrum for resten av natten.,[],2017-09-29 23:59:57
1,karriim_ahmed,Salah11♥️⚽️,"Beni Suef, Egypt",290,461,1818,0,RT @Fra_nkoo: نفسك ثم مستقبلك ثم اقسم بالله ما حد هينفعك.,[],2017-09-29 23:58:12
2,chrismorgangfp,,,237,70,2479,0,RT @VeteransFR_CA: Enseignants : invitez vos élèves à envoyer des cartes postales aux vétérans/membres actifs des FAC https://t.co/4gThoXpv…,[],2017-09-29 23:55:57
3,classiclivingno,Velkommen til Classic Living ⭐️- Bestilling av møbler kan gjøres på mail@classic-living.no eller på tlf: 99 1500 99  eller nettbutikk,Norway,29,64,4800,0,"God kveld og natt med dette flotte bildet fra flinkeste @torillsyn1 💖✨💖
#vakrehjem #vakrehjemoginspirasjon #dreami…… https://t.co/bQcrFp25g5","['vakrehjem', 'vakrehjemoginspirasjon', 'dreami']",2017-09-29 23:55:33
4,Natteramnoslo,"Ingen relasjon til @ravnene,
ikkje med i Tryg
Partipolitisk nøytral
Privat,ingen org
#Klem","Oslo, Norge",5725,7076,586837,0,RT @avisenHadeland: #nyhetsvarsel Oktoberfesten i Brandbu er for alvor i gang. Se bilder fra fredagens fest her! https://t.co/iUSXIwrtQV,['nyhetsvarsel'],2017-09-29 23:53:18
5,Mummikr,,Icelandic,396,259,2539,0,@kolbeinntumi Fell í hvorugan flokk en veðja þó á að flokkur þeirra sem fóru frá SDG eftir Binga support sé fjölmennari,[],2017-09-29 23:52:32
6,MuGe0,#Burundi,Bruxelles,1711,281,21524,0,RT @dw_francais: Situation alarmante pour les droits de l'homme au Burundi https://t.co/1sCALC19eM,[],2017-09-29 23:52:28
7,BuyDeal,"#NewRetail gives you more control over your purchase so you can buy what you want! See what’s possible. For help, tweet us at @AskBuyDeal.","Longueuil, Québec",4983,751,3432,0,"RT @SDC_TCS: Possibilités en #TIC en Jamaïque comprennent #cybercommerce, #cybersecurité, #telecom, #cybersanté. Info: https://t.co/LeYKbIi…","['TIC', 'cybercommerce', 'cybersecurité', 'telecom', 'cybersanté']",2017-09-29 23:52:19
8,RorinStah,"✦ Ghost/Fire type ✦
Searching for the ROSE OF SHARON since July 2007

«We'll meet again. When something else cries.»

✦ Art account: @MEKEtoMEKE",img by picrew.me,117,218,38178,1,"Mi mette troppa gioia vedere bake off con Kioko e Saku. 

QUANDO COINVOLGO PURE FRA è COMPLETO IL QUADRO.",[],2017-09-29 23:51:45
9,DavideKrama,x1🏆,"Pescara, Abruzzo",129,731,29082,0,@LeMooN__1 Mi dispiace fra ♥️,[],2017-09-29 23:51:29
10,gallimaufrey777,,Warwickshire,4991,3487,751429,0,"RT @StPaulsLearning: For he will give his angels charge over you,
to keep you in all your ways. Psalm 91.11
Fra Angelico c1446
#Michaelmas…",['Michaelmas'],2017-09-29 23:51:06
11,transceiverfreq,"xi=aixi'-(d+ai0+ai1)xi+rxi(fi-Φ ) | Freelance Research | Infosec | Professional 10th woman | Websnedker | 微博：zzz大梦想家 ☆ [Videnskab, klima & ugens kortfilm]","Frederiksberg, Danmark",286,973,34856,0,"@larskohler Tiden løber fra os, du... #dkpol opfører sig, som om det er for sjov..",['dkpol'],2017-09-29 23:51:03
12,_Arimoon88,🌺 Dietro ai sensi vedi che la ragione ha corte le ali~ 🍀 ASPIRANTE STRONZA 🍀 ~la mia fame è cronica~ in evoluzione 💜🥀🎼,Sul mare,3545,12164,117081,0,@daniela03654313 Poi mwgari fra un po si alzano d nuovo..😏,[],2017-09-29 23:49:52
13,jemechoisis,,,338,149,26400,0,RT @fra_sal24: Non è vero che dai talent escono artisti di poco valore. #MarcoCarta ci ha dato una gran bella smentita stasera. #taleequale…,['MarcoCarta'],2017-09-29 23:49:10
14,EJSIjiyUR6b2bFq,,"Os, Norge",37,3,574,0,"Bevar ditt hjerte framfor alt du bevarer, for livet går ut fra det...",[],2017-09-29 23:48:37
15,GeosNewsRoma,"Notizie dall'area di Roma e tutto il Mondo, localizzate e in tempo reale. Spostati sulla mappa dove preferisci: dalla nazione al quartiere. #news #Roma #Lazio",Roma,624,1484,210001,0,"Montesacro, rodeo nella notte: 8 cavalli in fuga fra le auto I vigili diventano cowboy... #news #Roma https://t.co/04z7oGsvm4","['news', 'Roma']",2017-09-29 23:48:30
16,vrtoni,"Ningún cliente se acordará de lo que le dijiste, pero sí de cómo le hiciste sentir. Quan toco de peus a terra es quan sé l’alçada que tinc.","Sant Feliu de Llobregat, Spain",185,128,8117,0,"@kslife7 @FCBbasket @FCBarcelona @ACBCOM @fcbarcelona_fra Well done, effort &amp; passion. Team work. That's what Palau needs. Keep going.",[],2017-09-29 23:48:00
17,Vypeer_,•18•@SimoSlide•@sscnapoli💙•,"Ercolano, Campania",349,550,29166,0,"@LeMooN__1 Ho letto su Facebook fra, condoglianze❤️😇",[],2017-09-29 23:47:39
18,gemmadestefanis,ha aderito a SMALFILAND,,14617,13272,5614,0,Firmato l'Accordo fra i Colossi del Forex per favorire i risparmiatori https://t.co/fT1JeJ6rBo https://t.co/CmXxdbl6Vq,[],2017-09-29 23:46:22
19,awesometae2020,"Awesometae2019#1🔥 Home clan #MHRR
#FierceXReptiles4Ambassador
#V1B3Z4DAYZ4Ambassador
  (IRHL)","Rapid Roof, Funrun2",815,554,17327,0,RT @Rihlate_FRA: thanks seriously tho . most of all to bestie ❤️only nice person from hux 💯🖕🏼 @1xbabe_ also every1 who helped me @lolchical…,[],2017-09-29 23:45:32
20,PoliTweetApp,Stats: http://stats.politirunden.no Maps: http://map.politirunden.no Hjelp oss? http://mapit.politirunden.no //De vi følger er de vi RT'er. Driftes av @laabak,"Oslo, Norge",72,6451,683038,0,RT @PolitiOstfldOPS: 0123. Moss. Patruljen løste opp et slagsmål utenfor et utested i sentrum. Ingen skadet. To menn bortvist fra sentrum f…,[],2017-09-29 23:43:31
21,jamesbondno,JAMESBOND.no er Norges lengstlevende og mest omfattende nettside om agent 007. 16 år på nett i 2016. Et produkt fra John Berge og http://www.jbforlag.no.,"Kolbotn, Norge",535,655,2240,0,"Rolf Hammerås fra Kristiansund kjørte åtte timer for å være med FilmMessen. Det er 13 (!) meter med film: VHS,... https://t.co/8cpwiQCtDz",[],2017-09-29 23:43:29
22,bareneket,,,204,100,4411,0,RT @ChrStendal: Gjertsen ble hentet for en slikk og ingenting fra Ranheim i sommer. Brann hentet en ving som knapt får lov til å varme opp…,[],2017-09-29 23:43:28
23,PolitiOstfldOPS,"Dette var kontoen til perasjonssentralen i Østfold, Øst politidistrikt. Operasjonssentralen ble avviklet 7. mars 2018.",Østfold,6,50573,21354,1,0123. Moss. Patruljen løste opp et slagsmål utenfor et utested i sentrum. Ingen skadet. To menn bortvist fra sentrum for resten av natten.,[],2017-09-29 23:43:20
